Voter ID,Projects Selected
1,"P6,P9,P5,P15,P8,P20"
2,"P18,P5,P21,P12,P3"
3,"P12,P5,P6,P17,P16"
4,"P11,P4,P3"
5,"P15,P16,P17,P13,P8,P9"
6,"P9,P10"
7,"P16,P21,P15,P10,P19,P14"
8,"P19,P15,P3"
9,"P7,P3"
10,"P18,P15,P6,P16,P21,P14"
11,"P14,P18"
12,"P17,P13,P15,P10,P6,P1"
13,"P1,P11,P16,P18"
14,"P13,P6,P5,P3"
15,"P7,P9,P14,P11,P3"
16,"P13,P11,P4,P12,P8,P3"
17,"P3,P10,P21"
18,"P17,P5,P21"
19,"P20,P2,P18,P14,P17"
20,"P11,P4,P9,P14,P18"
21,"P4,P16"
22,"P12,P19"
23,"P20,P14,P15"
24,"P4,P11"
25,"P6,P21,P13,P10"
26,"P5,P9"
27,"P12,P11,P5,P21,P16"
28,"P15,P7,P11,P4,P13,P8"
29,"P1,P6,P20"
30,"P4,P3,P7,P20,P17"
31,"P2,P5"
32,"P9,P20"
33,"P2,P21,P18,P9,P15,P11"
34,"P12,P15,P16,P8"
35,"P21,P7,P5,P18"
36,"P8,P20,P3"
37,"P5,P3,P18"
38,"P14,P13,P19"
39,"P20,P17,P8,P12"
40,"P17,P1,P21,P9,P13,P16"
41,"P5,P19,P15"
42,"P17,P9,P11,P14"
43,"P16,P4,P7"
44,"P2,P5,P9,P10,P13"
45,"P17,P9,P12,P18,P1,P2"
46,"P13,P1,P19,P10,P15"
47,"P7,P2,P14,P5,P19,P10"
48,"P11,P17,P18,P19,P16"
49,"P9,P21,P10"
50,"P8,P3,P5,P17,P9"
51,"P2,P19,P6"
52,"P10,P19,P8,P2,P17"
53,"P3,P5"
54,"P2,P6,P3"
55,"P21,P4,P5,P17"
56,"P3,P7,P13,P17"
57,"P2,P11,P10,P4"
58,"P11,P6,P8,P16,P1"
59,"P18,P15"
60,"P16,P12,P3,P2,P18"
61,"P6,P21,P14"
62,"P16,P8"
63,"P15,P17,P10,P8"
64,"P14,P15,P9"
65,"P10,P14,P9,P8,P3,P2"
66,"P5,P7,P8"
67,"P12,P9,P8,P15,P14,P16"
68,"P2,P12,P18"
69,"P18,P6,P3,P14"
70,"P11,P20,P14,P18"
71,"P5,P9,P7"
72,"P5,P3"
73,"P12,P21,P17"
74,"P20,P17,P7,P6,P19,P1"
